filename,company,title,url,platform
ambient--senior-gtm-engineer.md,Ambient,Senior GTM Engineer,https://jobs.ashbyhq.com/ambient.ai/b8d9bf06-3571-431d-9bd2-abdc66ae7e29,Ashby
apollo--revenue-operations-gtm-engineer.md,Apollo,"Revenue Operations, GTM Engineer",https://job-boards.greenhouse.io/apolloio/jobs/5679221004,Greenhouse
chainguard--business-development-operations-senior-manager.md,Chainguard,Business Development Operations Senior Manager,https://job-boards.greenhouse.io/chainguard/jobs/4628643006,Greenhouse
crux--gtm-engineer.md,Crux,GTM Engineer,https://jobs.ashbyhq.com/cruxclimate/8a018314-c766-4034-8b74-7c10edf0aa6b,Ashby
lightfield--gtm-engineer.md,Lightfield,GTM Engineer,https://jobs.ashbyhq.com/Lightfield/b3f11a97-7d7c-43e6-bae1-c50df8ae0a77,Ashby
luxury-presence--sr-lifecycle-marketing-manager.md,Luxury Presence,Sr. Lifecycle Marketing Manager,https://jobs.lever.co/luxurypresence/af4e3193-2a88-446f-b0c2-3a055d1033a5,Lever
monograph--marketing-operations-manager.md,Monograph,Marketing Operations Manager,https://monograph.com/careers-post?gh_jid=5697760004,monograph.com
paraform--gtm-engineer.md,Paraform,GTM Engineer,https://jobs.ashbyhq.com/paraform/ac04f1fd-2632-4658-9334-df36b0eeb906,Ashby
radar--senior-gtm-engineer.md,Radar,Senior GTM Engineer,https://jobs.ashbyhq.com/radar/cfdff65d-4278-4003-a974-67cb97a2c985,Ashby
twelve-labs--gtm-engineering-lead.md,Twelve Labs,GTM Engineering Lead,https://jobs.ashbyhq.com/twelve-labs/90d785fc-facf-412d-93a4-f9f9bb4a2f60,Ashby
vibe--senior-gtm-engineer.md,Vibe,Senior GTM Engineer,https://jobs.ashbyhq.com/vibe/1ae36b61-038e-4f7c-86a9-bfa67788e7e7,Ashby
every--growth-engineer.md,Every,Growth Engineer,https://modern-ton-234.notion.site/2d2ca4f355ac81709347ffa9fc725b0a?pvs=105,Notion
tenex--ai-strategist.md,Tenex,AI Strategist,https://jobs.ashbyhq.com/tenexlabs/4a54ffa2-e6bc-4912-8d0a-e568dc49ff40,Ashby
xai--head-of-gtm-systems-and-agents.md,xAI,Head of GTM Systems & Agents,https://job-boards.greenhouse.io/xai/jobs/5005154007,Greenhouse
